,Item_Identifier,Item_Outlet_Sales
245,FDY19,1950.1344
246,DRE03,749.36475
247,NCC55,686.6975
248,FDH52,165.60654
249,FDO09,3466.3564
250,FDU43,3873.2795
251,FDX09,466.23947
252,FDH40,314.46017
253,FDW58,1585.4541
254,FDC47,3873.707
255,NCR41,1619.56
256,DRG49,4152.0894
257,FDC52,3766.6907
258,FDY13,1129.5786
259,FDY35,638.72
260,FDI35,3264.339
261,NCU18,2221.8079
262,FDY33,2382.384
263,FDC15,3989.6936
264,FDU01,3090.973
265,NCU42,2715.798
266,NCV29,2715.8608
267,NCY30,3222.3904
268,FDQ46,1864.5411
269,FDG58,3780.5625
270,FDK33,3452.6765
271,NCD07,1806.3931
272,NCX29,3770.6775
273,NCT42,2474.094
274,DRN59,858.6782
275,FDI44,1352.0905
276,FDA45,2696.5383
277,FDP31,830.0476
278,FDY01,1891.8702
279,FDT09,1862.404
280,DRH03,2557.9155
281,FDA36,2653.9578
282,NCF31,2513.126
283,FDG14,2514.714
284,FDG28,6125.1357
285,FDU14,4111.0176
286,FDY47,334.7435
287,FDI56,1418.0463
288,DRD01,922.9724
289,FDM22,932.57227
290,FDH33,669.4602
291,DRZ24,1887.0946
292,NCQ38,1663.7285
293,FDO16,2351.324
294,FDU07,3776.3003
295,NCB07,3128.8416
296,FDU48,2071.672
297,NCM43,2582.2397
298,FDR31,267.25204
299,DRK49,473.87766
300,NCI30,534.20935
301,DRD60,3059.9805
302,NCG19,3707.182
303,FDH12,1701.379
304,FDM32,1466.0529
305,FDM27,2504.7563
306,NCU53,4148.731
307,NCQ18,1608.8177
308,FDS10,2962.5352
309,FDB33,4067.4915
310,FDI12,1358.0964
311,NCW42,3732.9275
312,NCC06,1793.2546
313,FDW02,2578.1072
314,NCD43,1697.3578
315,FDM57,1057.474
316,FDA58,3836.059
317,FDK56,3153.8396
318,FDP52,3895.2488
319,FDW20,1594.8285
320,FDS52,1640.1539
321,NCT29,1770.6516
322,NCL54,2869.3103
323,FDC05,3072.2422
324,FDF34,3193.2312
325,FDP03,3318.959
326,FDD32,291.57455
327,FDZ10,2015.8287
328,FDZ40,1002.15576
329,FDD51,467.6888
330,NCY30,450.45737
331,FDP58,3538.531
332,FDV49,4500.803
333,FDY24,131.64804
334,NCO55,1677.8062
335,FDR13,1944.534
336,FDS51,1015.1981
337,FDP26,1590.0033
338,NCB54,3329.8171
339,FDF32,3197.303
340,FDN31,2733.3142
341,DRM48,658.6438
342,FDN20,2686.2627
343,DRL01,3912.1963
344,FDV56,1689.6733
345,DRH13,2680.2896
346,FDA03,2535.1663
347,FDF47,5796.3496
348,FDX32,2484.5637
349,FDX57,1582.9779
350,NCA30,3051.0784
351,FDO49,778.2749
352,FDL04,338.6378
353,DRM48,666.7511
354,FDR16,3455.7622
355,NCC19,2893.7246
356,NCE42,2719.0273
357,FDY24,948.4375
358,FDH19,2810.7156
359,FDJ46,2835.4648
360,FDN45,489.0002
361,FDY08,2143.7383
362,FDZ37,1452.1188
363,NCT30,764.6113
364,DRY23,490.43832
365,NCZ30,1796.4637
366,FDC44,1679.1624
367,FDB45,1591.9209
368,FDY04,2607.9617
369,FDM27,2639.6626
370,FDZ43,3997.699
371,FDT39,366.22153
372,NCC06,371.2684
373,FDL15,3782.386
374,FDL57,4159.495
375,FDU08,1508.8596
376,FDK40,4422.4575
377,FDQ12,647.3346
378,FDS48,2562.6443
379,FDP09,3345.069
380,FDW21,1484.4554
381,FDY25,3118.5808
382,DRE13,1389.5869
383,FDV43,50.224705
384,FDD22,1749.5531
385,FDM46,280.5554
386,NCO30,485.48935
387,FDM25,2852.1282
388,NCN41,2115.3386
389,FDU24,1461.6
390,FDZ50,3198.43
391,FDP45,4091.9692
392,NCM54,2015.8287
393,FDW10,466.14145
394,FDP20,2108.322
395,FDK32,2517.8152
396,FDN52,1388.1487
397,FDM58,1821.1216
398,FDZ46,3015.13
399,NCA18,1628.5442
400,FDD35,2064.4207
401,NCK31,876.056
402,FDI40,2671.9272
403,FDT50,329.5659
404,NCT06,2692.5
405,FDT31,3218.7693
406,FDT45,865.6107
407,FDT13,3063.4797
408,FDO50,1354.6765
409,NCU18,357.56955
410,NCR54,3318.5076
411,NCO18,2632.385
412,FDU09,906.4729
413,FDT13,2843.9197
414,FDE09,1823.2512
415,NCK53,343.43625
416,FDG45,3517.1943
417,DRH15,701.2676
418,FDO21,611.3063
419,FDD14,5169.463
420,FDC09,1675.0159
421,FDH45,1077.42
422,FDV32,1051.2445
423,FDG12,1970.9574
424,FDS32,2110.0898
425,NCL55,3542.3857
426,DRE01,4021.0173
427,DRE15,1320.1768
428,NCL42,3611.76
429,FDP31,882.8004
430,FDN33,1298.248
431,FDZ59,2646.1987
432,FDE45,391.6434
433,FDJ07,1871.6216
434,FDQ45,2701.4028
435,FDM33,5536.0586
436,FDO15,210.68417
437,FDM46,1480.8254
438,FDR03,3348.6912
439,FDY49,2490.0886
440,FDQ60,1802.9393
441,FDW10,4052.6523
442,FDO51,719.34766
443,FDJ40,1440.2133
444,FDS20,2811.2063
445,FDU45,1861.6058
446,FDV02,2856.0085
447,FDN09,3915.1714
448,NCM55,5196.628
449,FDN23,2188.193
450,FDY31,288.81564
451,FDW03,315.9045
452,FDD14,2536.9204
453,FDV23,2057.0388
454,DRI03,2725.281
455,FDN13,1615.6509
456,FDF45,1646.1017
457,FDU46,1430.9996
458,FDB57,3654.9653
459,FDV12,1661.1328
460,FDQ58,2464.3152
461,NCA18,1920.4323
462,FDH52,1009.18286
463,FDM24,2174.8545
464,NCP43,4712.1714
465,NCO18,499.39267
466,FDM32,1416.5122
467,NCL07,686.4656
468,FDK03,4286.442
469,FDP59,1531.8123
470,FDQ24,4344.1743
471,FDQ16,1440.3073
472,FDU44,2639.6626
473,FDH28,37.393894
474,FDV28,37.393894
475,FDM22,827.87537
476,FDR56,3171.2646
477,FDV39,3091.0957
478,FDU37,271.91196
479,FDQ11,972.2052
480,FDX02,3691.61
481,NCS42,1253.084
482,FDY57,2562.178
483,FDB21,3898.9375
484,FDE28,3908.57
485,FDQ55,1969.6031
486,FDA48,3772.5425
487,FDZ19,2822.0015
488,NCC43,3844.7112
489,NCV18,1343.2137
490,NCA42,2327.8198
491,FDY45,4120.389
492,NCC30,2885.471
493,FDM57,1280.2043
494,FDL09,368.54697
495,FDB09,3309.074
496,FDT44,1941.8252
497,NCT06,4172.364
498,FDX26,3146.3853
499,FDK32,2517.8152
500,DRA12,2100.055
501,FDO46,607.0585
502,FDE52,1351.4207
503,NCH42,3818.5503
504,FDV08,785.3297
505,FDB47,3187.447
506,FDC28,342.40207
507,FDD22,1874.445
508,FDS07,3016.039
509,DRI13,3391.96
510,FDG32,3313.9927
511,FDU14,4200.1104
512,FDD28,99.12045
513,NCP41,1742.6587
514,FDS08,2891.8943
515,FDX47,2530.2292
516,FDC53,349.08273
517,FDQ19,4236.8984
518,FDL14,2402.296
519,FDM33,576.8439
520,FDA51,1822.2964
521,FDZ27,545.3887
522,FDT04,689.5582
523,DRC13,2076.6946
524,FDR16,5451.0415
525,FDQ03,6125.1685
526,FDE38,2816.891
527,DRH23,1639.2682
528,FDT11,530.38525
529,FDD09,3131.3894
530,FDR40,1293.1447
531,FDX07,3222.043
532,FDR07,1093.5194
533,FDA51,1904.0537
534,FDT59,654.97925
535,FDF20,3248.351
536,FDR13,1809.6022
537,FDY26,3486.8315
538,FDW04,2161.8948
539,FDK52,3888.8752
540,FDN60,2674.3596
541,FDM09,476.02646
542,FDP46,1375.1471
543,FDB50,262.02682
544,NCQ29,4054.8318
545,FDP16,6107.918
546,FDX33,2383.9092
547,FDP07,477.8447
548,FDN22,3781.096
549,FDF39,4415.5127
550,FDS21,1016.64197
551,NCM42,1658.9922
552,FDK50,410.55698
553,DRF13,3778.322
554,FDH35,2337.4001
555,FDP60,1419.2062
556,DRJ49,3335.4634
557,NCT42,365.01035
558,FDE38,2786.866
559,FDI04,3270.412
560,NCH54,2554.0874
561,FDT56,949.2283
562,DRD15,3362.8545
563,FDV58,2528.6504
564,FDP21,3229.528
565,FDH05,3934.0593
566,FDR10,4137.4707
567,NCP06,2110.6516
568,FDF33,1704.6191
569,DRK37,3218.8584
570,DRH49,1330.7736
571,FDT58,2717.7903
572,FDD41,1439.179
573,FDP40,2086.1394
574,FDM51,2676.96
575,FDO45,314.46017
576,FDW33,337.39084
577,FDY24,953.49475
578,FDB10,600.21204
579,FDM40,2182.1453
580,NCI06,3002.5024
581,FDW12,289.30795
582,FDX48,3785.5952
583,NCW05,2662.0422
584,FDX27,1421.2031
585,DRM37,3089.5225
586,FDA38,3790.3489
587,FDR36,695.9712
588,FDZ45,3212.541
589,FDG05,2611.8164
590,FDK28,4072.4373
591,FDV47,1379.7776
592,FDN21,2540.9517
593,FDP20,3360.4805
594,FDI35,3081.466
595,DRY23,673.2999
596,FDA56,2075.03
597,FDB09,2064.4146
598,NCO26,3037.5818
599,FDQ49,2209.4932
600,FDI52,3276.2861
601,FDZ44,3066.837
602,FDZ09,2340.5024
603,FDY03,1854.7843
604,NCG42,2181.712
605,DRI13,5509.721
606,FDQ32,2060.922
607,FDW16,1474.1066
608,FDU27,768.6448
609,FDR28,419.8525
610,FDQ49,373.84177
611,FDS37,1887.1006
612,FDW26,3402.2876
613,FDX12,3438.0137
614,NCP06,2336.076
615,FDW45,301.32443
616,NCN30,1570.6493
617,FDN24,865.6107
618,NCL41,1046.9573
619,FDR02,367.06894
620,FDD09,496.17453
621,FDS33,313.426
622,FDU22,1846.5225
623,FDI53,2641.1877
624,DRH01,2861.9583
625,FDX32,2171.7395
626,NCP30,452.218
627,FDB60,3038.4106
628,FDB14,1423.2706
629,NCP02,984.609
630,FDJ10,2145.4563
631,FDG34,1757.2363
632,NCB18,1389.1548
633,FDM16,1167.8856
634,FDW25,1148.355
635,FDB35,295.23898
636,DRN11,2166.9639
637,FDF41,653.91614
638,FDH16,1318.094
639,NCQ50,3085.0137
640,DRH23,730.22546
641,DRJ37,2461.9126
642,DRJ24,5169.463
643,FDY16,3226.85
644,FDQ27,1594.186
645,FDZ33,2399.0867
646,FDF29,2066.249
647,FDA08,2708.6025
648,FDG31,1052.2787
649,FDE34,520.5001
650,NCR30,2009.1693
651,FDV33,4224.098
652,DRZ24,1748.5956
653,NCL54,2904.9153
654,FDR12,2918.9534
655,NCC54,3795.6733
656,DRN59,781.1111
657,FDX50,343.43625
658,FDV31,4735.3833
659,NCA29,4688.3306
660,FDW60,2851.3835
661,FDX08,3261.1597
662,DRD49,3812.1274
663,FDD33,3798.2156
664,FDW35,641.85583
665,FDJ36,1687.691
666,FDV51,2865.4392
667,FDW36,1639.1726
668,FDH35,2591.028
669,NCS30,3329.8171
670,FDN49,686.66516
671,FDL08,3397.3306
672,FDI09,3332.312
673,FDP19,1992.3154
674,FDU21,42.192234
675,NCP41,1645.2288
676,FDY10,1818.463
677,FDP12,427.6688
678,NCN26,1935.912
679,FDK44,2860.281
680,FDC28,1698.973
681,FDJ41,5856.4404
682,NCT29,2132.3818
683,NCH42,647.3346
684,FDU60,2433.773
685,FDS02,3074.1973
686,FDC51,1993.7542
687,FDU03,3138.7266
688,FDX39,3366.5312
689,NCY05,32.307224
690,NCL06,6177.091
691,FDD32,1334.7773
692,NCN41,2044.3624
693,NCX53,2203.387
694,FDU57,341.64426
695,FDQ23,1664.6925
696,FDQ52,4042.514
697,FDC14,662.21545
698,FDY09,3004.6987
699,FDQ28,2436.0388
700,FDV25,3718.1785
701,FDJ07,1969.3066
702,DRB25,1686.6108
703,FDK52,520.9142
704,FDY52,1720.9165
705,FDB28,3115.4468
706,FDT36,666.7511
707,FDV25,3808.5063
708,NCN07,3337.4614
709,FDC57,3209.8242
710,FDQ03,3387.3203
711,FDU23,2803.6594
712,NCX41,3632.582
713,NCD06,832.41504
714,FDW08,1596.0488
715,NCU29,2535.5771
716,NCE06,2594.383
717,FDV52,182.90463
718,FDB02,2889.8872
719,NCR18,658.5665
720,FDK16,1566.5422
721,NCQ29,597.5171
722,FDZ01,350.7335
723,FDW27,2613.3503
724,FDD17,3422.8506
725,FDW39,2856.5496
726,DRH59,1086.6306
727,FDS52,1605.8674
728,FDU40,5316.0596
729,NCF54,2815.6929
730,FDH46,1587.1941
731,NCP14,1744.9437
732,FDH50,3238.7778
733,DRF15,336.03867
734,FDV27,2360.5955
735,NCJ06,2040.5559
736,FDN02,3214.5142
737,FDQ51,808.578
738,FDQ07,3826.4475
739,FDS45,1675.3011
740,NCJ06,1996.9169
741,FDD36,2017.4932
742,FDY25,3065.4778
743,FDU52,2472.15
744,DRK47,3952.2192
745,NCL30,2108.322
746,FDN22,3886.1113
747,NCF30,3321.6064
748,FDK03,4394.1675
749,FDT45,961.0359
750,NCC54,6117.3374
751,FDP08,2865.077
752,FDU44,2668.255
753,DRG39,915.79614
754,FDU32,2079.2783
755,FDY27,2967.381
756,NCP54,2072.059
757,NCZ41,2093.6057
758,DRL49,2249.3396
759,FDI05,1011.86414
760,FDY56,3837.9558
761,DRC13,2046.6425
762,NCV29,3056.801
763,FDR24,1398.9338
764,FDZ34,2816.2175
765,FDP37,2077.912
766,FDX08,4715.796
767,FDS57,2086.1646
768,NCG18,1704.1548
769,FDK25,2392.505
770,FDH53,1210.6594
771,DRI59,3338.626
772,FDA52,2999.652
773,FDT20,23.571873
774,FDE36,420.4421
775,FDI24,2854.3286
776,FDB28,2925.3591
777,FDV11,2864.2136
778,FDP01,2322.3284
779,FDD34,4154.377
780,FDJ50,1379.0339
781,FDZ44,1910.7272
782,DRO59,1203.6254
783,DRB48,717.8535
784,FDR21,2529.1694
785,NCE42,293.02036
786,FDO23,1434.2877
787,NCE30,3161.1345
788,FDQ22,754.1426
789,FDY01,1822.1984
790,FDS08,2929.4016
791,FDG28,3294.8892
792,FDQ51,569.1929
793,FDB05,3963.474
794,FDO56,1928.1064
795,FDE02,1156.018
796,FDN45,3748.6296
797,FDS09,784.9508
798,NCA54,2701.101
799,FDP09,471.05722
800,FDC53,1463.6725
801,NCM55,3240.7068
802,FDL09,2436.8752
803,FDA11,285.35385
804,FDA50,1508.1836
805,FDC23,2963.3057
806,FDE22,2668.3333
807,FDD23,3177.4487
808,NCA29,2954.1624
809,FDK38,2472.15
810,DRC13,2046.6425
811,NCP43,2943.2393
812,FDX28,1649.7084
813,FDF08,1411.3347
814,FDZ33,2467.1387
815,FDD10,2839.9724
816,FDO58,2679.5837
817,FDI50,3986.394
818,FDO58,2587.0906
819,FDX08,2989.8325
820,NCK17,28.625095
821,FDF39,4627.185
822,FDU45,374.343
823,NCJ18,1658.7137
824,DRC27,407.15427
825,DRC25,1402.8402
826,FDU59,2624.9766
827,FDU28,3284.26
828,NCP30,641.0292
829,FDB39,633.567
830,FDE41,1358.0964
831,DRH11,84.74765
832,FDA58,3711.1064
833,FDU50,1883.6409
834,FDM34,2100.7947
835,FDM44,2675.3093
836,FDR39,2860.5679
837,FDM25,2748.9443
838,FDQ49,2423.452
839,DRH25,601.4419
840,FDM09,4690.5713
841,FDL44,416.20358
842,NCR42,435.3304
843,DRL59,840.3407
844,FDX43,2709.463
845,DRK47,573.1283
846,FDU48,1841.4535
847,FDY12,780.5148
848,NCN43,1816.5216
849,NCM55,2838.2734
850,FDQ21,3303.4514
851,FDX13,4177.8354
852,NCK30,6006.9165
853,FDG20,2892.3777
854,DRG27,685.1002
855,FDY14,4135.22
856,FDP59,1561.4307
857,FDU60,2752.324
858,NCC18,473.35092
859,DRJ39,3587.5908
860,FDS07,1902.8754
861,FDM08,5811.857
862,FDP51,1958.3855
863,FDU16,1376.2772
864,FDH12,1659.6752
865,DRE48,501.07773
866,NCL42,6107.918
867,FDR21,2900.613
868,NCW29,2251.0688
869,FDO11,4211.8306
870,NCM31,2170.7605
871,FDV35,326.96066
872,FDF58,1028.0068
873,NCE43,2847.6548
874,FDA02,2599.0288
875,DRL37,50.224705
876,FDR24,1197.4287
877,FDW59,1374.7073
878,FDS22,715.0635
879,FDW24,840.5609
880,FDU24,1562.3331
881,FDA21,5204.2725
882,FDH58,3061.2144
883,FDW36,1411.4185
884,FDI45,4709.9414
885,FDU01,2814.735
886,FDF35,2662.0422
887,FDU43,634.8788
888,FDE24,252.25766
889,FDK50,2701.9368
890,FDG31,1020.06287
891,FDC60,1358.832
892,FDL36,1384.7941
893,FDP21,3175.7842
894,FDW16,1413.5237
895,FDX02,3802.4363
896,FDQ58,3776.3237
897,FDT51,1754.6483
898,FDD59,1353.5918
899,NCM42,1423.5997
900,FDA57,468.20615
901,FDZ48,1899.2803
902,FDE46,2432.3481
903,NCZ30,336.6439
904,FDB56,3223.5247
905,FDA25,2671.9272
906,FDD20,2064.4146
907,FDL25,1490.7103
908,NCO18,2967.8333
909,FDJ45,671.8915
910,FDR12,2991.5427
911,NCF19,108.9227
912,FDK25,2649.7832
913,NCR17,1882.0894
914,FDC52,2431.1838
915,NCA54,3059.9805
916,FDR45,645.5841
917,NCM19,1948.0244
918,FDF39,6509.628
919,FDX23,1573.1118
920,FDD58,2630.448
921,FDX28,1664.6864
922,NCD31,2664.0159
923,FDU57,2213.4497
924,FDI27,690.95996
925,NCM42,1651.3538
926,FDD32,2221.6848
927,FDI34,3913.4082
928,NCM29,2091.7349
929,FDG46,1599.1461
930,DRC01,97.75937
931,FDB15,5871.485
932,NCA17,3776.7637
933,FDF10,2484.5637
934,FDR26,4706.3647
935,FDI02,1851.686
936,NCM54,342.2966
937,FDF14,2487.4326
938,FDJ33,324.19138
939,FDM20,4056.962
940,FDC03,5307.934
941,NCX05,1901.5123
942,NCM41,2456.7856
943,NCU29,280.68442
944,FDQ59,1396.4453
945,FDH46,352.2872
946,FDH09,781.1111
947,NCD06,770.65674
948,FDC15,2482.6738
949,DRD37,1061.4728
950,FDT28,3770.6775
951,FDR28,4158.026
952,FDT38,1371.6083
953,FDV34,2010.3802
954,FDY52,1037.2126
955,FDB34,1355.8154
956,DRL23,1422.3209
957,DRB24,2472.785
958,FDJ50,830.59705
959,FDQ49,2558.1086
960,FDP20,2117.4702
961,FDV19,4071.1404
962,NCR54,3063.9194
963,FDO09,668.7792
964,FDS57,1890.6418
965,FDN10,1848.6993
966,FDV23,2092.1042
967,FDY28,3522.845
968,DRG51,2664.0159
969,FDD45,280.5554
970,NCL18,5265.261
971,NCM29,2041.4152
972,FDF17,5316.0596
973,FDE22,2677.296
974,FDQ22,704.6018
975,FDS01,2884.8733
976,FDW35,1067.0953
977,FDJ33,2047.2323
978,NCF54,2947.4136
979,FDE09,1665.3214
980,NCE06,2542.274
981,DRH49,1252.225
982,FDY43,2697.4504
983,NCT05,4172.514
984,FDZ34,3036.8523
985,FDL38,1408.6237
986,FDZ31,3197.163
987,FDR14,879.39087
988,NCN54,1327.9813
989,NCC42,3335.903
990,FDK08,1658.6444
991,FDP59,1474.5275
992,FDV22,2764.8186
993,FDD33,3771.0579
994,DRE60,6102.17
995,FDK52,3800.8638
996,FDA02,2549.4883
997,FDM56,1704.747
998,FDE57,2253.5525
999,FDM32,1207.3331
1000,NCQ30,3231.4802
1001,FDQ27,2677.55
1002,FDT60,3309.074
1003,FDU43,3854.577
1004,NCO55,1707.4246
1005,FDG02,2919.312
1006,FDJ28,3194.1912
1007,FDP40,2225.4077
1008,FDJ38,3040.0615
1009,NCC54,3856.519
1010,NCZ41,2037.313
1011,FDK38,358.9243
1012,FDU52,2479.7883
1013,FDC40,1145.5433
1014,NCR30,1153.0092
1015,NCN18,1837.3289
1016,FDB50,1339.8928
1017,FDG04,3081.3035
1018,FDR26,2883.2983
1019,NCT17,2821.9744
1020,FDX35,6198.492
1021,FDS12,2070.628
1022,NCZ29,3348.772
1023,FDB38,383.87277
1024,FDP12,640.7981
1025,FDP22,800.59607
1026,FDS26,3870.5696
1027,FDR52,3198.43
1028,DRJ13,2650.7314
1029,FDU48,3335.4397
1030,FDE29,989.43823
1031,NCT29,2097.2024
1032,DRK37,2874.673
1033,FDK55,1308.2437
1034,FDR07,1025.2415
1035,FDO21,5293.569
1036,FDK46,4147.477
1037,FDB12,1581.0056
1038,FDT31,5111.9155
1039,FDJ33,1971.542
1040,FDC26,2849.5618
1041,NCQ02,2950.5918
1042,FDP08,455.7662
1043,FDB11,5999.6216
1044,FDV55,2461.9106
1045,FDW20,1792.9697
1046,NCJ18,298.5942
1047,FDC41,943.1963
1048,FDE14,2671.3376
1049,FDG35,2801.9077
1050,FDF45,1013.5791
1051,FDS19,2270.1382
1052,FDS58,415.90756
1053,FDA26,3825.6438
1054,FDM32,1289.5775
1055,FDL45,2100.8792
1056,FDZ55,2660.0059
1057,FDY37,2233.107
1058,FDO46,3051.6743
1059,FDQ60,1896.7029
1060,FDA19,1833.051
1061,FDL15,2460.3582
1062,FDM10,3077.3691
1063,NCL05,704.3933
1064,DRK49,47.534763
1065,NCE18,6061.0312
1066,FDG40,684.9955
1067,DRI59,3682.0896
1068,FDK28,4158.4106
1069,NCD06,129.37119
1070,FDO11,861.7761
1071,FDK27,1842.2631
1072,FDT43,1356.7563
1073,FDD38,1463.1055
1074,FDA16,3592.5764
1075,FDL14,3779.9727
1076,NCM17,732.2706
1077,FDD20,1988.2845
1078,FDA40,1334.0244
1079,FDL43,1285.0955
1080,FDV15,1590.0033
1081,FDE52,1381.9576
1082,NCL17,257.3669
1083,NCJ31,3741.672
1084,FDR60,1295.6006
1085,NCA18,1950.0507
1086,FDS21,1803.7567
1087,FDW09,1425.6058
1088,FDL26,2548.8137
1089,FDS47,1217.8113
1090,FDC39,3555.2993
1091,FDT51,1857.3447
