Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
387,12.15,0,0.037955309,10,62.8826,9,1999,1,0,1,710.4086
675,8.06,0,0.021409913,2,229.7326,9,1999,1,0,1,6930.978
856,7.02,0,0.08114883,6,146.8734,6,2004,2,1,1,3563.3616
1349,19.5,0,0.015711807,9,181.8608,1,1987,0,2,1,4042.7376
1091,16.75,0,0.105282932,13,156.963,3,2009,1,2,2,2816.334
874,12.15,1,0.042681522,10,184.295,8,1997,2,0,1,2014.045
310,12.8,0,0.02299122,6,114.9492,7,2002,1,1,1,1737.738
969,16.7,1,0.06082402,0,98.7384,1,1987,0,2,1,1773.6912
807,11.65,0,0.0,0,152.6024,6,2004,2,1,1,303.6048
1455,16.75,0,0.126765903,8,35.7532,0,1998,1,2,0,143.8128
570,16.1,1,0.063319379,4,180.9318,6,2004,2,1,1,1984.7498
13,8.67,0,0.065424208,14,145.8128,6,2004,2,1,1,2444.8176
666,12.857645184136183,0,0.175362333,0,158.9604,5,1985,1,2,3,4436.8912
1068,13.1,0,0.07494003,4,75.0354,8,1997,2,0,1,902.8248
65,16.2,0,0.033568871,14,74.9696,2,2007,1,1,1,2162.5184
1197,10.5,0,0.027253711,9,170.9106,1,1987,0,2,1,3251.1014
1061,19.2,1,0.022965292,6,181.695,7,2002,1,1,1,2563.33
1029,5.86,1,0.151159243,10,156.6314,7,2002,1,1,1,3257.7594
288,12.857645184136183,0,0.247321039,13,152.3998,4,1985,2,0,0,153.7998
532,13.35,0,0.038519399,13,236.8564,6,2004,2,1,1,5005.4844
87,12.857645184136183,0,0.060805497,14,150.8024,5,1985,1,2,3,3339.6528
1297,12.15,0,0.029569276,9,115.015,9,1999,1,0,1,2912.875
642,7.21,1,0.144856342,13,100.5332,9,1999,1,0,1,1127.8652
171,8.05,1,0.164679597,4,112.1518,8,1997,2,0,1,1252.3698
39,12.857645184136183,0,0.02827966,4,152.234,5,1985,1,2,3,1071.938
738,12.857645184136183,0,0.03523927,0,231.601,5,1985,1,2,3,5972.226
1390,12.857645184136183,0,0.017936715,8,93.7094,5,1985,1,2,3,4189.2136
945,12.15,1,0.058516562,6,164.1552,9,1999,1,0,1,5198.5664
689,19.6,0,0.039638705,13,166.0526,9,1999,1,0,1,3124.5994
470,16.1,0,0.100149459,6,78.4328,1,1987,0,2,1,1158.492
324,12.857645184136183,1,0.0,5,83.7566,4,1985,2,0,0,253.6698
166,21.25,0,0.155350299,13,178.237,6,2004,2,1,1,529.311
164,10.895,0,0.065041581,6,196.3794,2,2007,1,1,1,3121.2704
499,8.6,1,0.040369315,3,189.753,3,2009,1,2,2,2846.295
1371,12.857645184136183,0,0.037829469,8,151.0708,4,1985,2,0,0,451.4124
392,8.975,1,0.05268526,3,83.3224,1,1987,0,2,1,3579.3408
873,10.695,1,0.12770295,4,120.444,6,2004,2,1,1,2516.724
1227,16.5,0,0.012657494,8,36.3506,9,1999,1,0,1,872.8638
1395,12.857645184136183,0,0.031583053,9,260.991,5,1985,1,2,3,7100.757
1324,12.857645184136183,0,0.08918772,9,128.9678,4,1985,2,0,0,254.3356
821,12.857645184136183,1,0.141975462,13,49.6008,4,1985,2,0,0,50.6008
928,12.35,0,0.093824276,13,119.9124,2,2007,1,1,1,2014.7108
1441,21.25,0,0.113833823,8,232.83,7,2002,1,1,1,1398.18
1251,12.857645184136183,0,0.052247806,9,190.853,5,1985,1,2,3,4554.072
702,11.5,0,0.290430317,6,130.6652,0,1998,1,2,0,258.3304
981,20.25,1,0.076470697,4,196.1794,3,2009,1,2,2,2731.1116
526,12.857645184136183,1,0.274592283,2,167.8474,4,1985,2,0,0,336.8948
449,8.51,1,0.078339081,13,172.9422,1,1987,0,2,1,1379.5376
73,12.857645184136183,0,0.136532569,7,159.6578,5,1985,1,2,3,2888.2404
802,18.2,0,0.161458973,6,37.819,6,2004,2,1,1,256.333
1136,17.5,0,0.026289984,13,253.7356,2,2007,1,1,1,3815.034
235,6.89,1,0.136428395,13,193.982,8,1997,2,0,1,1737.738
1238,12.857645184136183,0,0.102941345,9,171.2448,5,1985,1,2,3,4602.0096
1079,12.857645184136183,0,0.0,5,100.7042,5,1985,1,2,3,3174.5344
485,5.095,1,0.129395895,13,140.3838,1,1987,0,2,1,1826.2894
593,20.2,0,0.064464147,13,255.7646,9,1999,1,0,1,5410.9566
804,10.8,0,0.029001987,13,238.6222,7,2002,1,1,1,8604.7992
440,9.8,1,0.063916425,6,117.1492,9,1999,1,0,1,2780.3808
482,12.857645184136183,0,0.014353676,10,115.515,5,1985,1,2,3,1631.21
182,16.25,0,0.057485328,6,126.2046,9,1999,1,0,1,1867.569
1426,20.2,0,0.066200667,9,61.451,3,2009,1,2,2,126.502
311,12.857645184136183,0,0.051778173,13,157.892,4,1985,2,0,0,319.584
1283,5.82,0,0.134975628,9,170.579,0,1998,1,2,0,509.337
1154,12.5,1,0.109900843,6,83.0592,1,1987,0,2,1,743.0328
1441,21.25,0,0.114066204,8,233.03,3,2009,1,2,2,5592.72
1229,12.857645184136183,0,0.028868467,9,146.3786,5,1985,1,2,3,5056.751
440,9.8,1,0.106816919,6,114.2492,0,1998,1,2,0,463.3968
1113,12.857645184136183,0,0.052749199,3,74.967,4,1985,2,0,0,229.701
802,18.2,0,0.161489509,6,37.619,8,1997,2,0,1,366.19
627,18.6,0,0.077168705,13,160.6236,3,2009,1,2,2,1611.236
1039,6.69,1,0.036910398,10,175.037,8,1997,2,0,1,2117.244
918,10.1,1,0.045950475,13,38.2848,2,2007,1,1,1,1230.3984
1336,17.0,0,0.052421981,8,123.773,3,2009,1,2,2,1231.73
661,17.7,1,0.016593506,6,46.9034,6,2004,2,1,1,972.068
1051,12.6,1,0.036773101,6,250.3092,0,1998,1,2,0,249.0092
1252,12.857645184136183,0,0.02286663,9,102.8332,5,1985,1,2,3,2768.3964
1012,18.0,1,0.142688846,6,88.5514,8,1997,2,0,1,796.9626
738,12.857645184136183,0,0.061999648,0,230.001,4,1985,2,0,0,689.103
229,14.5,1,0.06904249,3,41.4454,0,1998,1,2,0,41.9454
239,8.96,1,0.068880971,6,195.3768,1,1987,0,2,1,2759.0752
1449,13.5,0,0.055301055,8,34.6874,2,2007,1,1,1,317.5866
93,7.63,0,0.061159246,14,92.5436,9,1999,1,0,1,1607.2412
395,12.857645184136183,0,0.178923163,6,55.7298,4,1985,2,0,0,161.7894
467,13.35,1,0.024482433,3,205.7638,0,1998,1,2,0,621.1914
809,12.857645184136183,1,0.075676339,5,190.4846,5,1985,1,2,3,8789.8916
571,17.7,0,0.019438042,5,95.541,0,1998,1,2,0,96.541
1319,6.095,0,0.0816559,11,143.3154,2,2007,1,1,1,2836.308
1190,17.85,0,0.052389407,13,120.9072,3,2009,1,2,2,2817.6656
469,18.5,1,0.0,5,148.7418,7,2002,1,1,1,2501.4106
141,12.857645184136183,0,0.043029436,0,94.7436,5,1985,1,2,3,1701.7848
842,8.38,1,0.046878474,0,109.857,6,2004,2,1,1,2306.997
856,7.02,0,0.081096635,6,148.4734,1,1987,0,2,1,3563.3616
831,4.635,0,0.141174838,1,127.0994,7,2002,1,1,1,2826.9868
245,15.6,0,0.117095014,5,78.067,9,1999,1,0,1,1148.505
354,9.3,1,0.02346559,13,197.6084,0,1998,1,2,0,595.2252
517,9.195,1,0.122202946,6,100.1016,1,1987,0,2,1,1619.2256
1228,8.85,0,0.016006626,9,105.6964,1,1987,0,2,1,210.3928
1338,12.15,0,0.0,11,123.773,8,1997,2,0,1,3325.671
133,15.0,1,0.054685839,3,60.2904,2,2007,1,1,1,1581.9408
935,12.857645184136183,0,0.045465958,6,120.8414,4,1985,2,0,0,852.8898
622,15.6,0,0.13575135,0,111.5544,0,1998,1,2,0,223.7088
308,20.1,1,0.0,5,152.2366,0,1998,1,2,0,151.1366
809,12.65,1,0.076198809,5,191.3846,7,2002,1,1,1,2675.1844
18,6.135,0,0.078957122,14,111.986,6,2004,2,1,1,1697.79
496,8.895,1,0.088821765,13,125.173,2,2007,1,1,1,2956.152
349,6.825,1,0.046729336,3,153.4998,7,2002,1,1,1,2153.1972
1358,20.7,0,0.039306822,9,150.7366,9,1999,1,0,1,3325.0052
1358,20.7,0,0.065689432,9,149.7366,0,1998,1,2,0,151.1366
1417,18.85,0,0.05213575,8,190.1846,9,1999,1,0,1,6687.961
291,18.85,0,0.141642219,3,168.1132,8,1997,2,0,1,2874.9244
455,12.857645184136183,0,0.067520165,6,211.3586,4,1985,2,0,0,422.1172
543,19.85,0,0.005230786,4,265.1884,1,1987,0,2,1,5034.7796
481,18.0,0,0.12470444,5,120.3124,7,2002,1,1,1,2725.7852
84,11.8,0,0.11350542,14,186.8924,9,1999,1,0,1,2961.4784
31,20.75,0,0.0,14,153.0024,6,2004,2,1,1,2428.8384
1067,7.725,0,0.047879864,3,250.2092,7,2002,1,1,1,3984.1472
1021,12.35,1,0.038718195,6,110.657,2,2007,1,1,1,2087.283
885,13.3,0,0.063925726,5,151.8708,2,2007,1,1,1,1655.1788
674,19.7,0,0.077849003,0,179.166,1,1987,0,2,1,3056.022
1096,20.1,0,0.074778547,4,110.7228,7,2002,1,1,1,1657.842
1429,12.857645184136183,0,0.03294861,9,116.8124,5,1985,1,2,3,2488.7604
284,16.7,0,0.07044068,4,216.885,3,2009,1,2,2,6275.165
1072,12.857645184136183,0,0.074517508,6,227.372,4,1985,2,0,0,452.744
1203,17.6,0,0.082316506,8,160.692,6,2004,2,1,1,1597.92
661,17.7,1,0.016582833,6,50.5034,1,1987,0,2,1,1458.102
453,14.0,1,0.135662712,5,52.064,1,1987,0,2,1,852.224
184,16.0,0,0.061192211,15,224.1404,2,2007,1,1,1,4725.8484
776,17.6,0,0.016804724,13,163.4552,0,1998,1,2,0,649.8208
1289,10.65,0,0.04896208,11,165.8526,2,2007,1,1,1,3946.8624
740,9.27,0,0.061775607,4,150.105,6,2004,2,1,1,2696.49
206,12.857645184136183,1,0.170382726,5,45.2718,4,1985,2,0,0,47.2718
844,6.895,0,0.022441883,10,143.8812,1,1987,0,2,1,2707.1428
1308,12.857645184136183,0,0.0,8,175.4028,5,1985,1,2,3,6729.9064
1418,9.0,0,0.019546214,9,168.1474,7,2002,1,1,1,4211.185
912,13.35,0,0.102426197,4,230.6352,1,1987,0,2,1,5725.88
421,19.25,1,0.034753686,3,141.5496,9,1999,1,0,1,1976.0944
1454,20.25,0,0.02593166,9,182.5976,1,1987,0,2,1,3078.6592
520,6.98,0,0.041105789,3,83.4934,8,1997,2,0,1,1555.9746
698,15.85,0,0.11566015,1,218.3166,0,1998,1,2,0,435.4332
176,9.395,0,0.103664897,13,233.6932,1,1987,0,2,1,1414.1592
1225,12.857645184136183,0,0.0,9,98.1726,5,1985,1,2,3,978.726
405,15.85,0,0.043410693,15,39.4164,3,2009,1,2,2,154.4656
579,14.1,0,0.126035694,6,86.4198,7,2002,1,1,1,1133.8574
1075,8.355,0,0.013929059,0,94.1462,8,1997,2,0,1,2221.1088
31,12.857645184136183,0,0.0,14,153.8024,5,1985,1,2,3,7741.9224
212,13.0,0,0.153618566,3,79.6986,8,1997,2,0,1,1480.0734
991,19.25,0,0.170348551,4,55.7956,0,1998,1,2,0,163.7868
912,13.35,0,0.103091351,4,229.9352,2,2007,1,1,1,2519.3872
1146,20.2,1,0.121940099,13,95.3752,2,2007,1,1,1,1150.5024
209,10.5,1,0.093909644,13,213.7244,9,1999,1,0,1,4022.7636
1460,19.6,0,0.094545236,9,254.7698,3,2009,1,2,2,5327.0658
94,8.21,0,0.010762387,7,149.5392,6,2004,2,1,1,1789.6704
460,8.71,1,0.04605781,4,43.8744,9,1999,1,0,1,633.8416
541,7.445,0,0.0,0,76.8354,8,1997,2,0,1,2181.8266
1260,13.15,0,0.093191195,9,158.1604,2,2007,1,1,1,1426.1436
441,10.895,0,0.035949725,6,132.9284,2,2007,1,1,1,3295.71
175,12.857645184136183,0,0.039451625,13,39.548,5,1985,1,2,3,1358.232
819,12.35,0,0.100164204,6,113.6518,3,2009,1,2,2,1593.9252
853,17.0,0,0.055519561,4,219.8114,9,1999,1,0,1,1108.557
1194,20.5,0,0.0,9,37.119,3,2009,1,2,2,842.237
581,5.78,1,0.124110349,13,262.3568,0,1998,1,2,0,790.9704
1413,12.857645184136183,0,0.092433518,8,101.6674,5,1985,1,2,3,1426.1436
1338,12.15,0,0.011314423,11,122.973,0,1998,1,2,0,123.173
310,12.8,0,0.022980361,6,117.7492,9,1999,1,0,1,1274.3412
1466,10.5,0,0.0,9,238.3248,0,1998,1,2,0,711.0744
45,12.857645184136183,0,0.078576075,14,78.467,4,1985,2,0,0,229.701
1203,17.6,0,0.08226356,8,160.492,1,1987,0,2,1,1278.336
189,13.15,0,0.036672107,5,182.5976,8,1997,2,0,1,4165.2448
40,16.1,0,0.023613955,14,192.8846,9,1999,1,0,1,5350.3688
794,12.857645184136183,1,0.085392428,6,226.7694,5,1985,1,2,3,6165.9738
634,11.5,0,0.072881535,6,191.353,8,1997,2,0,1,2277.036
31,20.75,0,0.021293097,14,151.9024,7,2002,1,1,1,2732.4432
892,14.15,0,0.035263498,3,254.8014,6,2004,2,1,1,2040.0112
1208,11.8,0,0.008596051,8,115.3492,3,2009,1,2,2,1621.8888
1164,12.857645184136183,0,0.079261744,13,81.825,4,1985,2,0,0,83.225
761,14.3,1,0.034605882,0,95.9726,2,2007,1,1,1,2153.1972
812,5.675,1,0.023496967,13,156.1288,8,1997,2,0,1,2828.3184
260,16.6,0,0.0,3,118.8124,8,1997,2,0,1,2607.2728
502,12.3,1,0.106542886,6,173.2396,7,2002,1,1,1,3139.9128
954,12.857645184136183,0,0.035737373,6,260.6278,5,1985,1,2,3,9371.8008
536,12.857645184136183,0,0.126924095,5,87.2224,5,1985,1,2,3,3494.1184
265,13.5,0,0.0,6,179.9976,1,1987,0,2,1,4889.6352
863,12.6,0,0.02429329,4,33.4874,3,2009,1,2,2,105.8622
521,12.857645184136183,0,0.172309903,10,98.2042,4,1985,2,0,0,198.4084
88,20.25,0,0.036319195,4,219.3482,6,2004,2,1,1,5038.1086
365,9.3,0,0.066727717,5,181.6292,1,1987,0,2,1,2371.5796
452,13.8,0,0.0,4,263.7884,9,1999,1,0,1,3709.8376
805,16.85,0,0.139985583,13,145.276,3,2009,1,2,2,2490.092
37,4.61,0,0.205294827,7,172.8396,0,1998,1,2,0,174.4396
1188,6.055,0,0.025408702,6,160.892,8,1997,2,0,1,2396.88
545,18.5,0,0.025756826,10,87.2172,6,2004,2,1,1,802.9548
445,8.35,1,0.126869718,5,74.4354,8,1997,2,0,1,1128.531
1007,13.35,0,0.080387424,1,219.2166,0,1998,1,2,0,1524.0162
702,11.5,0,0.173483253,6,129.0652,6,2004,2,1,1,3487.4604
603,6.42,0,0.053426165,4,178.7002,1,1987,0,2,1,4477.505
329,5.925,1,0.09644909,4,43.8086,6,2004,2,1,1,312.2602
960,12.857645184136183,1,0.0,3,154.6314,5,1985,1,2,3,6515.5188
695,20.5,1,0.112638016,6,195.5478,7,2002,1,1,1,3874.956
1268,11.3,0,0.047814463,9,179.266,7,2002,1,1,1,5033.448
818,10.195,1,0.0,5,139.5838,3,2009,1,2,2,4495.4816
608,13.0,1,0.030150193,3,61.422,7,2002,1,1,1,539.298
1045,15.0,0,0.046336634,1,120.0414,1,1987,0,2,1,3533.4006
1274,12.857645184136183,0,0.025842951,9,48.6376,5,1985,1,2,3,1677.816
1287,20.1,0,0.077892365,8,59.3536,2,2007,1,1,1,918.804
342,7.55,0,0.0273235,3,151.934,2,2007,1,1,1,1837.608
116,9.3,0,0.043874493,7,191.0846,7,2002,1,1,1,1337.5922
762,20.2,1,0.039469737,2,155.163,2,2007,1,1,1,782.315
913,18.7,1,0.092095924,10,183.3292,2,2007,1,1,1,2006.7212
1103,12.857645184136183,0,0.0514111,1,33.0558,5,1985,1,2,3,984.7182
1390,17.85,0,0.018125948,8,94.9094,2,2007,1,1,1,761.6752
104,19.5,1,0.129170642,14,233.9958,0,1998,1,2,0,467.3916
505,11.3,0,0.0,0,245.2118,7,2002,1,1,1,5681.2714
220,9.3,0,0.04774013,0,195.0136,0,1998,1,2,0,194.4136
36,18.35,0,0.03334929,4,155.034,3,2009,1,2,2,1990.742
966,12.1,0,0.020684919,13,148.5734,2,2007,1,1,1,1336.2606
674,12.857645184136183,0,0.07753654,0,180.866,5,1985,1,2,3,3235.788
346,10.3,1,0.098464979,6,188.653,0,1998,1,2,0,189.753
670,6.76,1,0.029100745,6,80.696,3,2009,1,2,2,559.272
947,10.3,1,0.011189235,13,86.654,2,2007,1,1,1,2423.512
627,18.6,0,0.076841095,13,162.2236,6,2004,2,1,1,2900.2248
410,7.51,0,0.017425784,6,227.901,6,2004,2,1,1,459.402
574,15.6,0,0.063081713,13,125.7704,0,1998,1,2,0,250.3408
457,12.6,0,0.09619424,13,210.8612,6,2004,2,1,1,1254.3672
264,8.3,0,0.03532494,6,38.9506,1,1987,0,2,1,721.0614
333,18.5,0,0.0,13,119.8124,2,2007,1,1,1,4029.4216
741,20.35,1,0.151044881,10,79.2276,6,2004,2,1,1,649.8208
1077,17.7,0,0.146973462,4,184.1292,0,1998,1,2,0,547.2876
879,10.395,0,0.112271498,13,58.222,9,1999,1,0,1,659.142
1246,9.13,0,0.051928034,9,151.4024,9,1999,1,0,1,1973.4312
237,8.39,1,0.024243294,5,116.0176,9,1999,1,0,1,1603.2464
30,8.43,0,0.017322454,14,196.8768,6,2004,2,1,1,3350.3056
77,14.7,0,0.035016091,7,144.3128,0,1998,1,2,0,431.4384
1209,20.2,0,0.100319317,9,188.6898,3,2009,1,2,2,3367.6164
711,21.1,1,0.161504957,6,65.0168,8,1997,2,0,1,639.168
1267,16.35,0,0.058034349,9,124.802,0,1998,1,2,0,253.004
433,15.1,1,0.105831117,6,41.6796,9,1999,1,0,1,784.3124
1218,15.0,0,0.044908404,8,140.2838,8,1997,2,0,1,1404.838
227,9.8,1,0.073289899,13,120.8098,2,2007,1,1,1,1325.6078
870,5.94,1,0.029492018,1,188.0556,3,2009,1,2,2,938.778
1384,12.5,0,0.006759519,9,42.8112,1,1987,0,2,1,639.168
794,6.78,1,0.085981978,6,228.4694,7,2002,1,1,1,5480.8656
568,15.1,0,0.076385385,0,88.483,3,2009,1,2,2,988.713
291,18.85,0,0.142219209,3,167.6132,3,2009,1,2,2,1522.0188
86,10.1,0,0.046848053,7,60.6878,2,2007,1,1,1,363.5268
277,12.15,0,0.018410515,5,252.1698,8,1997,2,0,1,2283.0282
712,6.65,0,0.087669485,6,127.2678,8,1997,2,0,1,2416.1882
967,12.857645184136183,1,0.116793684,13,41.0112,4,1985,2,0,0,42.6112
53,16.2,0,0.019417732,14,153.7972,7,2002,1,1,1,1402.1748
241,7.435,0,0.123086812,15,206.9638,7,2002,1,1,1,1035.319
379,15.25,0,0.089742065,5,213.7192,1,1987,0,2,1,1078.596
891,12.3,0,0.111500259,0,35.6874,7,2002,1,1,1,846.8976
563,18.0,0,0.073606829,3,156.6972,2,2007,1,1,1,4206.5244
121,9.6,0,0.096689673,14,168.0158,3,2009,1,2,2,1336.9264
226,15.5,1,0.026355345,6,100.8332,7,2002,1,1,1,1537.998
640,5.88,0,0.086945823,5,152.9998,2,2007,1,1,1,3691.1952
1198,19.0,0,0.129309277,9,188.8872,6,2004,2,1,1,3592.6568
872,14.85,0,0.0,3,187.7214,0,1998,1,2,0,188.4214
90,6.865,0,0.014021626,14,127.1652,7,2002,1,1,1,1291.652
510,12.857645184136183,0,0.182514881,6,98.77,5,1985,1,2,3,2696.49
1194,20.5,0,0.143164371,9,34.919,1,1987,0,2,1,73.238
